,property_id,check_in_date,room_category,successful_bookings,capacity
0,16559,2022-05-01,RT1,25,30
1,19562,2022-05-01,RT1,28,30
2,19563,2022-05-01,RT1,23,30
3,17558,2022-05-01,RT1,13,19
4,16558,2022-05-01,RT1,18,19
5,17560,2022-05-01,RT1,28,40
6,19558,2022-05-01,RT1,25,40
7,19560,2022-05-01,RT1,23,26
8,17561,2022-05-01,RT1,22,26
9,16560,2022-05-01,RT1,24,34
10,16561,2022-05-01,RT1,16,18
11,16562,2022-05-01,RT1,20,31
12,16563,2022-05-01,RT1,36,41
13,17559,2022-05-01,RT1,26,32
14,17562,2022-05-01,RT1,12,20
15,17563,2022-05-01,RT1,21,25
16,18558,2022-05-01,RT1,11,15
17,18559,2022-05-01,RT1,29,42
18,18561,2022-05-01,RT1,31,33
19,18562,2022-05-01,RT1,34,38
20,18563,2022-05-01,RT1,18,27
21,19559,2022-05-01,RT1,18,24
22,19561,2022-05-01,RT1,25,36
23,17564,2022-05-01,RT1,9,16
24,19562,2022-05-01,RT2,23,23
25,18563,2022-05-01,RT2,21,29
26,17561,2022-05-01,RT2,32,36
27,17558,2022-05-01,RT2,38,50
28,16562,2022-05-01,RT2,30,43
29,16561,2022-05-01,RT2,24,24
30,16558,2022-05-01,RT2,21,22
31,19560,2022-05-01,RT2,37,38
32,16563,2022-05-01,RT2,37,38
33,16559,2022-05-01,RT2,35,41
34,19559,2022-05-01,RT2,32,41
35,19558,2022-05-01,RT2,25,39
36,17559,2022-05-01,RT2,34,39
37,16560,2022-05-01,RT2,25,34
38,18562,2022-05-01,RT2,33,34
39,18559,2022-05-01,RT2,29,44
40,17563,2022-05-01,RT2,40,44
41,17562,2022-05-01,RT2,19,30
42,18558,2022-05-01,RT2,21,30
43,17564,2022-05-01,RT2,25,40
44,18561,2022-05-01,RT2,35,40
45,18560,2022-05-01,RT2,34,40
46,17560,2022-05-01,RT2,31,45
47,19561,2022-05-01,RT2,35,45
48,19563,2022-05-01,RT2,36,45
49,19563,2022-05-01,RT3,20,29
50,18560,2022-05-01,RT1,27,30
51,19562,2022-05-01,RT3,25,29
52,19561,2022-05-01,RT3,23,29
53,18562,2022-05-01,RT3,28,29
54,17558,2022-05-01,RT3,21,27
55,17562,2022-05-01,RT3,15,27
56,19559,2022-05-01,RT3,19,27
57,16559,2022-05-01,RT3,27,32
58,17560,2022-05-01,RT3,19,25
59,18561,2022-05-01,RT3,23,25
60,16561,2022-05-01,RT3,21,21
61,16563,2022-05-01,RT3,17,20
62,17561,2022-05-01,RT3,16,19
63,18558,2022-05-01,RT3,18,26
64,18560,2022-05-01,RT3,21,24
65,18563,2022-05-01,RT3,16,23
66,19560,2022-05-01,RT3,16,19
67,17564,2022-05-01,RT3,16,24
68,16560,2022-05-01,RT3,15,20
69,16558,2022-05-01,RT3,8,8
70,19558,2022-05-01,RT3,13,21
71,16562,2022-05-01,RT3,14,18
72,17559,2022-05-01,RT3,14,16
73,17563,2022-05-01,RT3,14,16
74,18559,2022-05-01,RT3,14,23
75,19559,2022-05-01,RT4,2,3
76,16562,2022-05-01,RT4,4,6
77,17558,2022-05-01,RT4,4,6
78,17562,2022-05-01,RT4,4,6
79,19563,2022-05-01,RT4,4,6
80,19558,2022-05-01,RT4,4,7
81,19561,2022-05-01,RT4,5,7
82,16560,2022-05-01,RT4,6,7
83,16561,2022-05-01,RT4,9,10
84,17560,2022-05-01,RT4,10,13
85,18561,2022-05-01,RT4,8,9
86,17564,2022-05-01,RT4,9,17
87,18560,2022-05-01,RT4,14,15
88,19560,2022-05-01,RT4,15,16
89,18559,2022-05-01,RT4,11,19
90,17563,2022-05-01,RT4,17,19
91,19562,2022-05-01,RT4,13,14
92,17559,2022-05-01,RT4,13,14
93,18558,2022-05-01,RT4,14,20
94,18562,2022-05-01,RT4,19,20
95,18563,2022-05-01,RT4,13,18
96,16563,2022-05-01,RT4,17,18
97,16559,2022-05-01,RT4,17,18
98,17561,2022-05-01,RT4,3,4
99,16558,2022-05-01,RT4,3,3
100,16559,2022-05-02,RT1,20,30
101,18560,2022-05-02,RT1,21,30
102,19562,2022-05-02,RT1,20,30
103,19563,2022-05-02,RT1,14,30
104,17558,2022-05-02,RT1,10,19
105,16558,2022-05-02,RT1,12,19
106,17560,2022-05-02,RT1,22,40
107,19558,2022-05-02,RT1,16,40
108,19560,2022-05-02,RT1,14,26
109,17561,2022-05-02,RT1,15,26
110,16560,2022-05-02,RT1,17,34
111,16561,2022-05-02,RT1,11,18
112,16562,2022-05-02,RT1,17,31
113,16563,2022-05-02,RT1,25,41
114,17559,2022-05-02,RT1,20,32
115,17562,2022-05-02,RT1,9,20
116,17563,2022-05-02,RT1,15,25
117,18558,2022-05-02,RT1,8,15
118,18559,2022-05-02,RT1,17,42
119,18561,2022-05-02,RT1,24,33
120,18562,2022-05-02,RT1,22,38
121,18563,2022-05-02,RT1,14,27
122,19559,2022-05-02,RT1,13,24
123,19561,2022-05-02,RT1,20,36
124,17564,2022-05-02,RT1,7,16
125,19562,2022-05-02,RT2,15,23
126,18563,2022-05-02,RT2,15,29
127,17561,2022-05-02,RT2,23,36
128,17558,2022-05-02,RT2,27,50
129,16562,2022-05-02,RT2,21,43
130,16561,2022-05-02,RT2,16,24
131,16558,2022-05-02,RT2,14,22
132,19560,2022-05-02,RT2,21,38
133,16563,2022-05-02,RT2,23,38
134,16559,2022-05-02,RT2,23,41
135,19559,2022-05-02,RT2,19,41
136,19558,2022-05-02,RT2,17,39
137,17559,2022-05-02,RT2,26,39
138,16560,2022-05-02,RT2,17,34
139,18562,2022-05-02,RT2,17,34
140,18559,2022-05-02,RT2,18,44
141,17563,2022-05-02,RT2,28,44
142,17562,2022-05-02,RT2,14,30
143,18558,2022-05-02,RT2,14,30
144,17564,2022-05-02,RT2,16,40
145,18561,2022-05-02,RT2,25,40
146,18560,2022-05-02,RT2,26,40
147,17560,2022-05-02,RT2,23,45
148,19561,2022-05-02,RT2,22,45
149,19563,2022-05-02,RT2,20,45
150,19563,2022-05-02,RT3,14,29
151,19562,2022-05-02,RT3,18,29
152,19561,2022-05-02,RT3,17,29
153,18562,2022-05-02,RT3,18,29
154,17558,2022-05-02,RT3,12,27
155,17562,2022-05-02,RT3,12,27
156,19559,2022-05-02,RT3,14,27
157,16559,2022-05-02,RT3,20,32
158,16558,2022-05-02,RT3,5,8
159,18561,2022-05-02,RT3,18,25
160,18558,2022-05-02,RT3,15,26
161,16561,2022-05-02,RT3,13,21
162,16563,2022-05-02,RT3,13,20
163,17560,2022-05-02,RT3,13,25
164,18560,2022-05-02,RT3,14,24
165,17559,2022-05-02,RT3,9,16
166,17563,2022-05-02,RT3,9,16
167,18559,2022-05-02,RT3,9,23
168,19558,2022-05-02,RT3,9,21
169,17564,2022-05-02,RT3,9,24
170,16560,2022-05-02,RT3,10,20
171,17561,2022-05-02,RT3,10,19
172,16562,2022-05-02,RT3,11,18
173,18563,2022-05-02,RT3,11,23
174,19560,2022-05-02,RT3,11,19
175,19559,2022-05-02,RT4,2,3
176,16558,2022-05-02,RT4,2,3
177,17558,2022-05-02,RT4,4,6
